Account Number,Organization,City,Country,CDP Region,0
50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,4
50381,Municipio de Torreón,Torreón,Mexico,Latin America,4
50382,Municipio de Mérida,Mérida,Mexico,Latin America,4
50383,Prefeitura de Sorocaba,Sorocaba,Brazil,Latin America,5
50384,Prefeitura de Florianópolis,Florianópolis,Brazil,Latin America,5
50385,Prefeitura de Campo Grande,Campo Grande,Brazil,Latin America,5
50386,Prefeitura de Cuiabá,Cuiabá,Brazil,Latin America,3
50387,Prefeitura de Guarulhos,Guarulhos,Brazil,Latin America,5
50388,Prefeitura de Natal,Natal,Brazil,Latin America,2
50389,Prefeitura de Maceió,Maceió,Brazil,Latin America,3
50390,Prefeitura de Teresina,nan,Brazil,Latin America,1
50391,Prefeitura de Manaus,Manaus,Brazil,Latin America,4
50392,Prefeitura de Vitória,Vitória,Brazil,Latin America,4
50394,Prefeitura Municipal de João Pessoa,João Pessoa,Brazil,Latin America,5
50395,Prefeitura de São Luís,São Luís,Brazil,Latin America,4
50396,Prefeitura Municipal de Santos,Santos,Brazil,Latin America,4
50397,Presidencia Municipal de Saltillo,nan,Mexico,Latin America,2
50398,Ciudad de Juárez,Juárez,Mexico,Latin America,4
50400,"City of Newark, NJ",Newark,United States of America,United States of America,2
50401,City of Madison,Madison,United States of America,North America,1
50401,"City of Madison, WI",Madison,United States of America,United States of America,2
50540,City of Albuquerque,nan,United States of America,North America,1
50540,"City of Albuquerque, NM",nan,United States of America,United States of America,2
50541,City of Greensboro,Greensboro,United States of America,North America,3
50541,"City of Greensboro, NC",Greensboro,United States of America,United States of America,2
50543,Halifax Regional Municipality,Halifax,Canada,North America,3
50543,"Halifax Regional Municipality, NS",Halifax,Canada,Canada,1
50543,"Halifax Regional Municipality, NS",Halifax,Canada,nan,1
50544,"City of Aurora, IL",Aurora,United States of America,North America,3
50544,"City of Aurora, IL",Aurora,United States of America,United States of America,2
50545,City of Henderson,Henderson,United States of America,North America,1
50545,"City of Henderson, NV",Henderson,United States of America,United States of America,2
50549,City of Fort Worth,Fort Worth,United States of America,North America,3
50549,"City of Fort Worth, TX",Fort Worth,United States of America,United States of America,2
50550,City of Buffalo,"Buffalo, NY",United States of America,North America,3
50550,"City of Buffalo, NY","Buffalo, NY",United States of America,United States of America,2
50551,City of Long Beach,Long Beach,United States of America,North America,3
50551,"City of Long Beach, CA",Long Beach,United States of America,United States of America,1
50553,City of Fresno,Fresno,United States of America,North America,1
50554,"City of Mesa, AZ",Mesa,United States of America,United States of America,2
50555,City of Hamilton,Hamilton,Canada,North America,3
50555,"City of Hamilton, ON",Hamilton,Canada,Canada,1
50555,"City of Hamilton, ON",Hamilton,Canada,nan,1
50557,City of Norfolk,Norfolk,United States of America,North America,2
50558,"City of London, ON","London, ON",Canada,Canada,1
50558,"City of London, ON","London, ON",Canada,North America,3
50558,"City of London, ON","London, ON",Canada,nan,1
50559,"City of St Catharines, ON",St Catharines,Canada,Canada,1
50559,"City of St Catharines, ON",St Catharines,Canada,North America,3
50559,"City of St Catharines, ON",St Catharines,Canada,nan,1
50560,City of Oakland,Oakland,United States of America,North America,3
50560,"City of Oakland, CA",Oakland,United States of America,United States of America,2
50562,City of Chula Vista,Chula Vista,United States of America,North America,2
50562,"City of Chula Vista, CA",Chula Vista,United States of America,United States of America,2
50565,City of Toledo,Toledo,United States of America,North America,3
50566,City of Anchorage,Anchorage,United States of America,North America,3
50566,"City of Anchorage, AK",Anchorage,United States of America,United States of America,1
50568,City of Saskatoon,Saskatoon,Canada,North America,3
50568,"City of Saskatoon, SK",Saskatoon,Canada,Canada,1
50568,"City of Saskatoon, SK",Saskatoon,Canada,nan,1
50569,"City of Stockton, CA",Stockton,United States of America,United States of America,2
50571,City of Victoria,Victoria,Canada,North America,3
50571,"City of Victoria, BC",Victoria,Canada,Canada,1
50571,"City of Victoria, BC",Victoria,Canada,nan,1
50572,"City of Saint Paul, MN",Saint Paul,United States of America,North America,3
50572,"City of Saint Paul, MN",Saint Paul,United States of America,United States of America,2
50574,City of Plano,Plano,United States of America,North America,3
50574,"City of Plano, TX",Plano,United States of America,United States of America,2
50577,City of Wichita,Wichita,United States of America,North America,1
50577,"City of Wichita, KS",Wichita,United States of America,United States of America,2
50578,City of Windsor,Windsor,Canada,North America,3
50578,"City of Windsor, ON",Windsor,Canada,Canada,1
50578,"City of Windsor, ON",Windsor,Canada,nan,1
50579,City of Winnipeg,Winnipeg,Canada,North America,3
50579,"City of Winnipeg, MB",Winnipeg,Canada,Canada,1
50579,"City of Winnipeg, MB",Winnipeg,Canada,nan,1
50650,City of Gibraltar,Gibraltar,Gibraltar,Europe,5
50665,Município de Ovar,Ovar,Portugal,Europe,3
50669,Municipality of Matosinhos,Matosinhos,Portugal,Europe,1
50671,Município de Fafe,Fafe,Portugal,Europe,4
50672,Município de Santarém,Santarém,Portugal,Europe,2
50673,Municipality of Faro,Faro,Portugal,Europe,1
50673,Município de Faro,Faro,Portugal,Europe,4
50674,Municipality of Viseu,Viseu,Portugal,Europe,1
50674,Município de Viseu,Viseu,Portugal,Europe,4
50678,Municipality of Évora,Évora,Portugal,Europe,1
50678,Município de Évora,Évora,Portugal,Europe,2
50679,Município de Barreiro,Barreiro,Portugal,Europe,3
50680,Municipality of Cascais,Cascais,Portugal,Europe,1
50680,Município de Cascais,Cascais,Portugal,Europe,3
50681,Município de Funchal,Funchal,Portugal,Europe,4
50713,Chuncheon City,Chuncheon-si,Republic of Korea,East Asia,1
50718,Uiwang City,Uiwang-si,Republic of Korea,East Asia,1
50782,Dhaka City,Dhaka,Bangladesh,South and West Asia,3
50782,Dhaka North City,Dhaka,Bangladesh,South Asia,2
50792,Commune de Monaco,Monaco,Monaco,Europe,1
50792,Municipality of Monaco,Monaco,Monaco,Europe,1
50792,Ville de Monaco,Monaco,Monaco,Europe,3
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,5
51075,City of Shenzhen,Shenzhen,China,East Asia,5
51079,Guatemala City,Guatemala City,Guatemala,Latin America,5
51374,Prefeitura de Rio Branco,Rio Branco,Brazil,Latin America,5
52164,Prefeitura Municipal de Macapá,Macapá,Brazil,Latin America,1
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,5
52894,City of Winston-Salem,Winston-Salem,United States of America,North America,3
52894,"City of Winston-Salem, NC",Winston-Salem,United States of America,United States of America,2
52896,"City of Fort Lauderdale, FL",Fort Lauderdale,United States of America,United States of America,2
52897,City of Aspen,Aspen,United States of America,North America,3
52897,"City of Aspen, CO",Aspen,United States of America,United States of America,2
53171,State Government of Victoria,Melbourne,Australia,Oceania,1
53241,City of Darwin,Darwin,Australia,Oceania,1
53254,City of Hobart,Hobart,Australia,Oceania,2
53254,City of Hobart,Hobart,Australia,Southeast Asia and Oceania,3
53829,"City of Kingston, ON",Kingston,Canada,Canada,1
53829,"City of Kingston, ON",Kingston,Canada,North America,2
53829,"City of Kingston, ON",Kingston,Canada,nan,1
53860,"City of Wilmington, NC",Wilmington,United States of America,North America,2
53860,"City of Wilmington, NC",Wilmington,United States of America,United States of America,2
53879,City of Jersey City,Jersey City,United States of America,North America,1
53879,"City of Jersey City, NJ",Jersey City,United States of America,United States of America,1
53899,"City of Worcester, MA",Worcester,United States of America,United States of America,1
53921,"City of Tempe, AZ",Tempe,United States of America,North America,3
53921,"City of Tempe, AZ",Tempe,United States of America,United States of America,2
53931,"City of Alexandria, VA",Alexandria,United States of America,United States of America,1
53959,"City of Fayetteville, AR",Fayetteville,United States of America,North America,3
53959,"City of Fayetteville, AR",Fayetteville,United States of America,United States of America,2
54026,City of Tacoma,Tacoma,United States of America,North America,3
54026,"City of Tacoma, WA",Tacoma,United States of America,United States of America,2
54027,"City of St. John's, NL",St. John’s,Canada,Canada,1
54027,"City of St. John's, NL",St. John’s,Canada,nan,1
54029,City of Spokane,Spokane,United States of America,North America,2
54029,"City of Spokane, WA",Spokane,United States of America,United States of America,2
54030,City of Little Rock,Little Rock,United States of America,North America,2
54030,"City of Little Rock, AR",Little Rock,United States of America,United States of America,2
54034,City of Grand Rapids,Grand Rapids,United States of America,North America,1
54034,"City of Grand Rapids, MI",Grand Rapids,United States of America,United States of America,2
54037,City of Des Moines,Des Moines,United States of America,North America,2
54037,"City of Des Moines, IA",Des Moines,United States of America,United States of America,2
54040,"City of Regina, SK",Regina,Canada,Canada,1
54048,City of Knoxville,Knoxville,United States of America,North America,3
54048,"City of Knoxville, TN",Knoxville,United States of America,United States of America,2
54057,City of Lancaster,"Lancaster, CA",United States of America,North America,2
54060,City of Greater Sudbury / Grand Sudbury,Sudbury,Canada,North America,3
54060,"City of Greater Sudbury / Grand Sudbury, ON",Sudbury,Canada,Canada,1
54060,"City of Greater Sudbury / Grand Sudbury, ON",Sudbury,Canada,nan,1
54066,City of Fort Collins,Fort Collins,United States of America,North America,2
54066,"City of Fort Collins, CO",Fort Collins,United States of America,United States of America,2
54070,City of Eugene,Eugene,United States of America,North America,3
54070,"City of Eugene, OR",Eugene,United States of America,United States of America,1
54075,City of Lakewood,Lakewood,United States of America,North America,3
54075,"City of Lakewood, CO",Lakewood,United States of America,United States of America,2
54078,City of Hayward,Hayward,United States of America,North America,3
54078,"City of Hayward, CA",Hayward,United States of America,United States of America,2
54082,"City of Hollywood, FL",Hollywood,United States of America,North America,3
54082,"City of Hollywood, FL",Hollywood,United States of America,United States of America,1
54084,City of Guelph,Guelph,Canada,North America,2
54084,"City of Guelph, ON",Guelph,Canada,Canada,1
54084,"City of Guelph, ON",Guelph,Canada,nan,1
54085,City of Savannah,Savannah,United States of America,North America,3
54085,"City of Savannah, GA",Savannah,United States of America,United States of America,2
54087,"City of Moncton, NB",Moncton,Canada,Canada,1
54088,City of Peterborough,Peterborough,Canada,North America,2
54088,"City of Peterborough, ON",Peterborough,Canada,Canada,1
54088,"City of Peterborough, ON",Peterborough,Canada,nan,1
54092,City of Ann Arbor,Ann Arbor,United States of America,North America,3
54092,"City of Ann Arbor, MI",Ann Arbor,United States of America,United States of America,2
54096,"City of Saint John, NB",Saint John,Canada,Canada,1
54096,"City of Saint John, NB",Saint John,Canada,nan,1
54098,City of Thunder Bay,Thunder Bay,Canada,North America,2
54098,"City of Thunder Bay, ON",Thunder Bay,Canada,Canada,1
54098,"City of Thunder Bay, ON",Thunder Bay,Canada,nan,1
54100,"City of Columbia, MO","Columbia, MO",United States of America,North America,3
54100,"City of Columbia, MO","Columbia, MO",United States of America,United States of America,2
54102,City of Albany,Albany,United States of America,North America,3
54102,"City of Albany, NY",Albany,United States of America,United States of America,2
54104,City of Boulder,Boulder,United States of America,North America,3
54104,"City of Boulder, CO",Boulder,United States of America,United States of America,2
54105,"City of Duluth, MN",Duluth,United States of America,United States of America,2
54108,City of Durham,"Durham, NC",United States of America,North America,3
54109,City of Bloomington,Bloomington,United States of America,North America,3
54109,"City of Bloomington, IN",Bloomington,United States of America,United States of America,2
54110,City of Santa Monica,Santa Monica,United States of America,North America,3
54110,"City of Santa Monica, CA",Santa Monica,United States of America,United States of America,2
54111,City of Iowa City,Iowa City,United States of America,North America,3
54111,"City of Iowa City, IA",Iowa City,United States of America,United States of America,2
54113,City of Flagstaff,Flagstaff,United States of America,North America,3
54113,"City of Flagstaff, AZ",Flagstaff,United States of America,United States of America,2
54114,City of Asheville,Asheville,United States of America,North America,3
54114,"City of Asheville, NC",Asheville,United States of America,United States of America,2
54116,City of Dubuque,Dubuque,United States of America,North America,3
54116,"City of Dubuque, IA",Dubuque,United States of America,United States of America,2
54119,City of Palo Alto,Palo Alto,United States of America,North America,3
54119,"City of Palo Alto, CA",Palo Alto,United States of America,United States of America,2
54124,City of Fremont,Fremont,United States of America,North America,3
54124,"City of Fremont, CA",Fremont,United States of America,United States of America,2
54125,"City of Boise, ID",Boise,United States of America,United States of America,2
54128,City of Reno,Reno,United States of America,North America,1
54128,"City of Reno, NV",Reno,United States of America,United States of America,2
54144,City of Yarra,Richmond,Australia,Oceania,2
54253,Wollongong City Council,Wollongong,Australia,Oceania,2
54253,Wollongong City Council,Wollongong,Australia,Southeast Asia and Oceania,3
54265,City of Newcastle,Newcastle,Australia,Southeast Asia and Oceania,1
54268,Dunedin City Council,nan,New Zealand,Oceania,2
54268,Dunedin City Council,nan,New Zealand,Southeast Asia and Oceania,1
54270,Palmerston North City Council,nan,New Zealand,Southeast Asia and Oceania,1
54274,Rotorua Lakes Council,Rotorua,New Zealand,Oceania,1
54274,Rotorua Lakes Council,Rotorua,New Zealand,Southeast Asia and Oceania,2
54276,City of Greater Bendigo,Bendigo,Australia,Oceania,1
54277,New Plymouth District Council,New Plymouth District,New Zealand,Southeast Asia and Oceania,2
54277,New Plymouth District Council,nan,New Zealand,Oceania,2
54282,Hangzhou City People's Government,Hangzhou City,China,East Asia,3
54289,Wuhan Municipal People's Government,Wuhan,China,East Asia,5
54290,Qingdao Municipal Government,Qingdao,China,East Asia,5
54291,Chengdu Municipal Government,Chengdu,China,East Asia,5
54293,People's Government of Guangzhou Municipality,Guangzhou,China,East Asia,5
54298,Dalian Municipal People's Government,Dalian,China,East Asia,4
54305,Rajkot Municipal Corporation,nan,India,South Asia,2
54305,Rajkot Municipal Corporation,nan,India,South and West Asia,2
54306,Medan City Government,nan,Indonesia,Southeast Asia,1
54306,Medan City Government,nan,Indonesia,Southeast Asia and Oceania,1
54308,Coimbatore City Municipal Corporation,nan,India,South Asia,1
54308,Coimbatore City Municipal Corporation,nan,India,South and West Asia,1
54311,Thane Municipal Corporation,nan,India,South and West Asia,1
54317,Dehradun Municipal Corporation,Dehradun,India,South and West Asia,1
54318,Government of Tangerang City,Tangerang City,Indonesia,Southeast Asia,1
54318,Government of Tangerang City,Tangerang City,Indonesia,Southeast Asia and Oceania,1
54319,Shimla Municipal Corporation,nan,India,South Asia,1
54325,Gwalior Municipal Corporation,nan,India,South Asia,1
54327,Semarang City Government,nan,Indonesia,Southeast Asia,1
54327,Semarang City Government,nan,Indonesia,Southeast Asia and Oceania,2
54328,City of Niigata,nan,Japan,East Asia,2
54329,Bogor City Government,Bogor,Indonesia,Southeast Asia,2
54329,Bogor City Government,Bogor,Indonesia,Southeast Asia and Oceania,3
54330,City of Kawasaki,nan,Japan,East Asia,2
54331,City of Sagamihara,nan,Japan,East Asia,2
54335,Government of the City of Yogyakarta,nan,Indonesia,Southeast Asia,1
54335,Government of the City of Yogyakarta,nan,Indonesia,Southeast Asia and Oceania,1
54336,City of Hamamatsu,nan,Japan,East Asia,1
54337,Greater Amman Municipality,Amman,Jordan,Middle East,5
54338,City of Saitama,nan,Japan,East Asia,3
54340,Adachi City,nan,Japan,East Asia,2
54341,Toyama City,nan,Japan,East Asia,3
54342,Jbail-Byblos Municipality,nan,Lebanon,Middle East,2
54345,City Government of Davao,Davao,Philippines,Southeast Asia,2
54345,City Government of Davao,Davao,Philippines,Southeast Asia and Oceania,2
54347,Pasig City,Pasig,Philippines,Southeast Asia,1
54347,Pasig City,Pasig,Philippines,Southeast Asia and Oceania,1
54348,The Local Government of Quezon City,Quezon City,Philippines,Southeast Asia,2
54348,The Local Government of Quezon City,Quezon City,Philippines,Southeast Asia and Oceania,3
54349,Balikpapan City Government,nan,Indonesia,Southeast Asia,2
54349,Balikpapan City Government,nan,Indonesia,Southeast Asia and Oceania,2
54352,City of Muntinlupa,nan,Philippines,Southeast Asia and Oceania,1
54354,City Government of Makati,Makati,Philippines,Southeast Asia,2
54354,City Government of Makati,Makati,Philippines,Southeast Asia and Oceania,1
54356,City of Parañaque,Parañaque,Philippines,Southeast Asia and Oceania,1
54360,Shah Alam City Council,nan,Malaysia,Southeast Asia,1
54360,Shah Alam City Council,nan,Malaysia,Southeast Asia and Oceania,2
54361,Petaling Jaya City Council,Petaling Jaya,Malaysia,Southeast Asia,1
54361,Petaling Jaya City Council,Petaling Jaya,Malaysia,Southeast Asia and Oceania,1
54364,City of Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia,2
54364,City of Kuala Lumpur,Kuala Lumpur,Malaysia,Southeast Asia and Oceania,2
54367,Melaka Historic City Council,nan,Malaysia,Southeast Asia,1
54367,Melaka Historic City Council,nan,Malaysia,Southeast Asia and Oceania,1
54370,Municipal Council of Penang,nan,Malaysia,Southeast Asia and Oceania,1
54386,Tainan City Government,Tainan,"Taiwan, China",East Asia,1
54386,Tainan City Government,Tainan,"Taiwan, Greater China",East Asia,3
54388,Iskandar Regional Development Authority,Iskandar,Malaysia,Southeast Asia,2
54388,Iskandar Regional Development Authority,Iskandar,Malaysia,Southeast Asia and Oceania,3
54389,Taichung City Government,Taichung,"Taiwan, China",East Asia,1
54389,Taichung City Government,Taichung,"Taiwan, Greater China",East Asia,4
54390,Hsinchu County Government,Hsinchu County,"Taiwan, China",East Asia,1
54390,Hsinchu County Government,Hsinchu County,"Taiwan, Greater China",East Asia,4
54391,Nonthaburi City,nan,Thailand,Southeast Asia and Oceania,1
54395,Taoyuan City Government,Taoyuan,"Taiwan, China",East Asia,1
54395,Taoyuan City Government,Taoyuan,"Taiwan, Greater China",East Asia,4
54396,Can Tho City,Can Tho City,Viet Nam,Southeast Asia,2
54402,City of Lahti,Lahti,Finland,Europe,4
54402,Lahden kaupunki,Lahti,Finland,Europe,1
54403,City of Tampere,Tampere,Finland,Europe,1
54403,Tampereen kaupunki,Tampere,Finland,Europe,1
54405,Vejle Kommune,Vejle,Denmark,Europe,1
54408,Aarhus Kommune,Aarhus,Denmark,Europe,1
54408,Aarhus Municipality,Aarhus,Denmark,Europe,1
54409,City of Espoo,Espoo,Finland,Europe,4
54409,Espoon kaupunki,Espoo,Finland,Europe,1
54410,City of Oulu,City of Oulu,Finland,Europe,1
54430,Ville du Havre,Le Havre,France,Europe,3
54443,Landeshauptstadt Magdeburg,Magdeburg,Germany,Europe,1
54444,Mülheim an der Ruhr,Mülheim a.d.R,Germany,Europe,1
54455,City of Kiel,Kiel,Germany,Europe,1
54457,Hanse- und Universitätsstadt Rostock,Rostock,Germany,Europe,1
54457,Hansestadt Rostock,Rostock,Germany,Europe,3
54459,City of Reykjavík,Reykjavík,Iceland,Europe,4
54459,Reykjavíkurborg,Reykjavík,Iceland,Europe,1
54461,Gemeente Groningen,Groningen,Netherlands,Europe,1
54470,Municipality of Tilburg,LH Tilburg,Netherlands,Europe,1
54478,Gemeente Nijmegen,Nijmegen,Netherlands,Europe,4
54478,Municipality of Nijmegen,Nijmegen,Netherlands,Europe,1
54488,Trondheim Municipality,Trondheim,Norway,Europe,4
54488,Trondheim kommune,Trondheim,Norway,Europe,1
54491,Municipality of Málaga,Málaga,Spain,Europe,2
54492,Bergen Municipality,Bergen,Norway,Europe,1
54492,Bergen kommune,Bergen,Norway,Europe,1
54493,Kristiansand Municipality,Kristiansand,Norway,Europe,2
54497,City of Wroclaw,Wroclaw,Poland,Europe,2
54497,Miasto Wrocław,Wroclaw,Poland,Europe,1
54498,Ayuntamiento de Murcia,Murcia,Spain,Europe,4
54498,Municipality of Murcia,Murcia,Spain,Europe,1
54504,Ayuntamiento de Alicante,Alicante,Spain,Europe,1
54510,Umeå kommun,Umeå,Sweden,Europe,1
54510,Umeå municipality,Umeå,Sweden,Europe,3
54513,Municipality of Uppsala,Uppsala,Sweden,Europe,3
54513,Uppsala Municipality,Uppsala,Sweden,Europe,1
54513,Uppsala kommun,Uppsala,Sweden,Europe,1
54517,City Örebro,Örebro,Sweden,Europe,3
54518,City of Helsingborg,Helsingborg,Sweden,Europe,1
54518,Helsingborgs stad,Helsingborg,Sweden,Europe,1
54519,City of Lund,Lund,Sweden,Europe,1
54519,Lund Municipality,Lund,Sweden,Europe,1
54519,Lunds kommun,Lund,Sweden,Europe,1
54520,Ville de Lausanne,Lausanne,Switzerland,Europe,1
54521,BCP Council,Bournemouth,United Kingdom of Great Britain and Northern Ireland,Europe,5
54527,Stadt Bern,Bern 8,Switzerland,Europe,1
54528,City of Portsmouth,Portsmouth,United Kingdom of Great Britain and Northern Ireland,Europe,1
54529,City of Leicester,Leicester,United Kingdom of Great Britain and Northern Ireland,Europe,5
54530,City of Brighton & Hove,Hove,United Kingdom of Great Britain and Northern Ireland,Europe,3
54531,Preston City Council,Preston,United Kingdom of Great Britain and Northern Ireland,Europe,1
54533,City of Geneva,Genève,Switzerland,Europe,1
54535,Newport City Council,Newport,United Kingdom of Great Britain and Northern Ireland,Europe,2
54537,Sunderland City Council,Sunderland,United Kingdom of Great Britain and Northern Ireland,Europe,2
54538,Bath and North East Somerset,Bath,United Kingdom of Great Britain and Northern Ireland,Europe,4
54559,Ugu District Municipality,Ugu,South Africa,Africa,2
54575,Vhembe District Municipality,Vhembe,South Africa,Africa,1
54579,Sekhukhune District Municipality,Sekhukhune District Municipality,South Africa,Africa,3
54588,West Coast District Municipality,West Coast District Municipality,South Africa,Africa,2
54593,Buffalo City Metropolitan Municipality,Buffalo,South Africa,Africa,4
54603,Alcaldia de Pasto,Pasto,Colombia,Latin America,4
54605,Municipalidad de Cusco,Cusco,Peru,Latin America,2
54606,Prefeitura Municipal de Bauru,Bauru,Brazil,Latin America,2
54608,Alcaldia de Montería,Montería,Colombia,Latin America,3
54609,Alcaldia de Trujillo,Trujillo,Peru,Latin America,2
54611,Alcaldia de Manizales,Manizales,Colombia,Latin America,4
54612,Alcaldia de Valledupar,Valledupa,Colombia,Latin America,1
54613,Alcaldia de Valdivia,Valdivia,Chile,Latin America,3
54614,Prefeitura da Cidade de São José do Rio Preto,São José do Rio Preto,Brazil,Latin America,3
54615,Prefeitura da Estância Turística de São Roque,São Roque,Brazil,Latin America,1
54616,Gobierno Autonomo de Cochabamba,Cochabamba,Bolivia (Plurinational State of),Latin America,1
54617,Alcaldia de Pereira,Pereira,Colombia,Latin America,4
54619,Municipalidad  Provincial de Piura,Piura,Peru,Latin America,1
54620,Gobierno Municipal de la Ciudad de Paraná,la Ciudad de Paraná,Argentina,Latin America,2
54622,Prefeitura da Estância Turística de ITU,Estância Turística de ITU,Brazil,Latin America,1
54622,Prefeitura da Estância Turística de Itu,Estância Turística de ITU,Brazil,Latin America,1
54623,Prefeitura de Betim,Betim,Brazil,Latin America,4
54625,Prefeitura de Londrina,Londrina,Brazil,Latin America,3
54627,Prefeitura de Joinville,Joinville,Brazil,Latin America,1
54631,Prefeitura de Cajamar,Cajamar,Brazil,Latin America,1
54632,Prefeitura de Caruaru,Caruaru,Brazil,Latin America,3
54633,Prefeitura de Lorena,Lorena,Brazil,Latin America,5
54637,Alcaldía de Cuenca,Cuenca,Ecuador,Latin America,5
54641,Prefeitura de Limeira,Limeira,Brazil,Latin America,3
54646,Prefeitura de Duque de Caxias,Duque de Caxias,Brazil,Latin America,2
54647,Prefeitura de Jundiaí,Jundiaí,Brazil,Latin America,5
54649,Prefeitura de Tatuí,Tatuí,Brazil,Latin America,3
54650,Prefeitura de Palmas,Palmas,Brazil,Latin America,5
54651,Prefeitura de Santo André,Santo André,Brazil,Latin America,2
54652,Prefeitura de Osasco,Osasco,Brazil,Latin America,5
54654,Prefeitura de São João da Boa Vista,São João da Boa Vista,Brazil,Latin America,2
54656,Prefeitura de Vinhedo,Vinhedo,Brazil,Latin America,3
54658,Prefeitura do Município de Piracicaba,Piracicaba,Brazil,Latin America,1
54662,Prefeitura do Município de Maringá,Maringá,Brazil,Latin America,4
54663,Prefeitura do Jaboatão dos Guararapes,Jaboatão dos Guararapes,Brazil,Latin America,1
54666,Prefeitura Municipal da Estância Turística de Olímpia,Olímpia,Brazil,Latin America,1
54667,Prefeitura Municipal de Contagem,Contagem,Brazil,Latin America,4
54668,Prefeitura Municipal de Aparecida de Goiânia,Aparecida de Goiânia,Brazil,Latin America,1
54670,Prefeitura Municipal de Capivari,Capivari,Brazil,Latin America,2
54671,Prefeitura Municipal de Cascavel,Cascavel,Brazil,Latin America,1
54672,Prefeitura Municipal de Araraquara,Araraquara,Brazil,Latin America,1
54676,Prefeitura Municipal de Ponta Grossa,Ponta Grossa,Brazil,Latin America,1
54678,Prefeitura Municipal de Porto Feliz,Porto Feliz,Brazil,Latin America,2
54681,Prefeitura Municipal de Araçatuba,Araçatuba,Brazil,Latin America,5
54682,Prefeitura Municipal de Petrolina,Petrolina,Brazil,Latin America,4
54683,Prefeitura Municipal de Franco da Rocha,Franco da Rocha,Brazil,Latin America,2
54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,5
54688,Prefeitura Municipal de São Vicente,São Vicente,Brazil,Latin America,2
54692,Prefeitura Municipal de Sertãozinho,Sertãozinho,Brazil,Latin America,5
54693,Prefeitura Municipal de Ribeirão Preto,Ribeirão Preto,Brazil,Latin America,1
54696,XIV Ayuntamiento de La Paz,La Paz,Mexico,Latin America,2
54697,Prefeitura Municipal de Cerquilho,Cerquilho,Brazil,Latin America,3
54699,Prefeitura Municipal de Barueri,Barueri,Brazil,Latin America,2
54700,Prefeitura Municipal de Sumaré,Sumaré,Brazil,Latin America,4
54703,Prefeitura Municipal de Mairiporã,Mairiporã,Brazil,Latin America,2
54706,Prefeitura Municipal de Boa Vista,Boa Vista,Brazil,Latin America,5
54708,Prefeitura de Uberlândia,Uberlândia,Brazil,Latin America,1
54709,Prefeitura de Blumenau,Blumenau,Brazil,Latin America,2
55159,City of Iwanuma,Iwanuma-shi,Japan,East Asia,2
55161,City of Iida,Iida-shi,Japan,East Asia,2
55164,City of Toyota,Toyota-shi,Japan,East Asia,1
55165,City of Ikoma,Ikoma-shi,Japan,East Asia,2
55166,City of Tsukuba,Tsukuba-shi,Japan,East Asia,2
55169,City of Miyakojima,Miyakojima-shi,Japan,East Asia,2
55180,City of Shizuoka,Shizuoka-shi,Japan,East Asia,2
55181,City of Matsuyama,Matsuyama-shi,Japan,East Asia,2
55319,Município de Lamego,Lamego,Portugal,Europe,1
55322,Município de Vila Nova de Famalicão,Vila Nova de Famalicão,Portugal,Europe,1
55324,Municipality of Guimarães,Guimarães,Portugal,Europe,1
55324,Município de Guimarães,Guimarães,Portugal,Europe,4
55325,Municipality of Águeda,Águeda,Portugal,Europe,1
55325,Município de Águeda,Águeda,Portugal,Europe,4
55328,Município de Câmara de Lobos,Câmara de Lobos,Portugal,Europe,1
55331,Município de Ílhavo,Ílhavo,Portugal,Europe,2
55334,Municipality of Braga,Braga,Portugal,Europe,1
55334,Município de Braga,Braga,Portugal,Europe,4
55371,Municipalidad de Vicente López,Vicente López,Argentina,Latin America,4
55372,Prefeitura Municipal de Canoas,Canoas,Brazil,Latin America,5
55373,Prefeitura Municipal de Cabreúva,Cabreúva,Brazil,Latin America,3
55379,Santa Fé Ciudad,nan,Argentina,Latin America,3
55380,Prefeitura Municipal de Cubatão,Cubatão,Brazil,Latin America,2
55381,Prefeitura Municipal de Paulínia,nan,Brazil,Latin America,1
55415,"City of Columbia, SC","Columbia, SC",United States of America,North America,3
55415,"City of Columbia, SC","Columbia, SC",United States of America,United States of America,1
55418,City of Huntington Beach,Huntington Beach,United States of America,North America,1
55419,City of Miramar,Miramar,United States of America,North America,3
55419,"City of Miramar, FL",Miramar,United States of America,United States of America,1
55442,Município de Moita,Moita,Portugal,Europe,1
55466,Milton Keynes Council,Central Milton Keynes,United Kingdom of Great Britain and Northern Ireland,Europe,1
55615,"City of Winter Park, FL",nan,United States of America,North America,2
55615,"City of Winter Park, FL",nan,United States of America,United States of America,1
55616,Los Altos Hills,Los Altos Hills,United States of America,North America,1
55799,"Arlington, VA",Arlington,United States of America,North America,3
55799,"Arlington, VA",Arlington,United States of America,United States of America,2
55800,City of Cambridge,"Cambridge, MA",United States of America,North America,3
55800,"City of Cambridge, MA","Cambridge, MA",United States of America,United States of America,2
55801,City of West Palm Beach,West Palm Beach,United States of America,North America,3
